channel,ltv_pct,interest_rate,dti_cap_pct,max_loan_amount,max_term_years,source_confidence
Pag-IBIG,0.9,0.0575,0.35,10000000,30,official
Bank (general),0.8,0.07,0.3,null,20,estimated
