geographyFk,houseMedianPrice,listingCount,geography,families,reliability,monthlyIncome,monthlyExpenses,netIncome,capacityToPayPagibig,capacityToPayBank,pagIbigRequiredLoan,pagIbigAmmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmmortization,bankCapacity,bankGap,bankLoanStatus
160200000,1623300.00,25,agusan del norte,95,Low,20650,17490,3160,7227.50,6195.00,1460970,8525.82,7227.50,1298.32,Not Applicable,1298640,10068.34,6195.00,3873.34,Not Applicable
101300000,1158700.00,4,bukidnon,363,High,21239,12421,8818,7433.65,6371.70,1042830,6085.67,7433.65,-1347.98,Applicable,926960,7186.71,6371.70,815.01,Not Applicable
099701000,2134000.00,31,isabela,27,Very Low,26192,18683,7509,9167.20,7857.60,1920600,11208.10,9167.20,2040.90,Not Applicable,1707200,13235.90,7857.60,5378.30,Not Applicable
043400000,1400000.00,1085,laguna,998,High,36824,27703,9121,12888.40,11047.20,1260000,7353.02,12888.40,-5535.38,Applicable,1120000,8683.35,11047.20,-2363.85,Applicable
030800000,1574500.00,311,bataan,215,High,32278,23600,8678,11297.30,9683.40,1417050,8269.52,11297.30,-3027.78,Applicable,1259600,9765.67,9683.40,82.27,Not Applicable
175300000,4800000.00,1,palawan,249,High,20368,13116,7252,7128.80,6110.40,4320000,25210.35,7128.80,18081.55,Not Applicable,3840000,29771.48,6110.40,23661.08,Not Applicable
153800000,3884000.00,4,maguindanao,234,High,13002,12621,381,4550.70,3900.60,3495600,20399.37,4550.70,15848.67,Not Applicable,3107200,24090.09,3900.60,20189.49,Not Applicable
112300000,770000.00,117,davao del norte,260,High,22076,18288,3788,7726.60,6622.80,693000,4044.16,7726.60,-3682.44,Applicable,616000,4775.84,6622.80,-1846.96,Applicable
137404000,2210000.00,997,quezon,495,High,20593,18090,2503,7207.55,6177.90,1989000,11607.26,7207.55,4399.71,Not Applicable,1768000,13707.29,6177.90,7529.39,Not Applicable
036916000,1188000.00,508,tarlac,366,High,30652,24973,5679,10728.20,9195.60,1069200,6239.56,10728.20,-4488.64,Applicable,950400,7368.44,9195.60,-1827.16,Applicable
021500000,1528750.00,18,cagayan,307,High,27542,18714,8828,9639.70,8262.60,1375875,8029.23,9639.70,-1610.47,Applicable,1223000,9481.91,8262.60,1219.31,Not Applicable
141100000,4500000.00,24,benguet,134,Moderate,28574,19823,8751,10000.90,8572.20,4050000,23634.70,10000.90,13633.80,Not Applicable,3600000,27910.76,8572.20,19338.56,Not Applicable
063022000,1304700.00,585,iloilo,101,Moderate,39894,25554,14340,13962.90,11968.20,1174230,6852.49,13962.90,-7110.41,Applicable,1043760,8092.26,11968.20,-3875.94,Applicable
060400000,1650000.00,6,aklan,161,Moderate,27418,20630,6788,9596.30,8225.40,1485000,8666.06,9596.30,-930.24,Applicable,1320000,10233.95,8225.40,2008.55,Not Applicable
031400000,900600.00,1776,bulacan,921,High,30995,25002,5993,10848.25,9298.50,810540,4730.09,10848.25,-6118.16,Applicable,720480,5585.87,9298.50,-3712.63,Applicable
112400000,2163000.00,222,davao del sur,209,High,24369,15560,8809,8529.15,7310.70,1946700,11360.41,8529.15,2831.26,Not Applicable,1730400,13415.77,7310.70,6105.07,Not Applicable
064500000,1137700.00,404,negros occidental,661,High,20148,16786,3362,7051.80,6044.40,1023930,5975.38,7051.80,-1076.42,Applicable,910160,7056.46,6044.40,1012.06,Not Applicable
035400000,1755900.00,828,pampanga,583,High,35959,28654,7305,12585.65,10787.70,1580310,9222.26,12585.65,-3363.39,Applicable,1404720,10890.78,10787.70,103.08,Not Applicable
126300000,1572100.00,133,south cotabato,269,High,20988,16610,4378,7345.80,6296.40,1414890,8256.91,7345.80,911.11,Not Applicable,1257680,9750.78,6296.40,3454.38,Not Applicable
037100000,1200500.00,212,zambales,178,Moderate,25239,21449,3790,8833.65,7571.70,1080450,6305.21,8833.65,-2528.44,Applicable,960400,7445.97,7571.70,-125.73,Applicable
098300000,441540.00,8,zamboanga sibugay,172,Moderate,21796,16617,5179,7628.60,6538.80,397386,2319.04,7628.60,-5309.56,Applicable,353232,2738.60,6538.80,-3800.20,Applicable
175100000,529500.00,7,occidental mindoro,132,Moderate,22431,15851,6580,7850.85,6729.30,476550,2781.02,7850.85,-5069.83,Applicable,423600,3284.17,6729.30,-3445.13,Applicable
097200000,3270024.00,4,zamboanga del norte,251,High,19797,15496,4301,6928.95,5939.10,2943021.6,17174.68,6928.95,10245.73,Not Applicable,2616019.2,20281.97,5939.10,14342.87,Not Applicable
083700000,2277000.00,173,leyte,507,High,20831,16424,4407,7290.85,6249.30,2049300,11959.16,7290.85,4668.31,Not Applicable,1821600,14122.85,6249.30,7873.55,Not Applicable
104300000,2855000.00,133,misamis oriental,240,High,23750,16118,7632,8312.50,7125.00,2569500,14994.90,8312.50,6682.40,Not Applicable,2284000,17707.83,7125.00,10582.83,Not Applicable
012900000,3671466.67,5,ilocos sur,174,Moderate,29636,19339,10297,10372.60,8890.80,3304320.003,19283.11,10372.60,8910.51,Not Applicable,2937173.336,22771.87,8890.80,13881.07,Not Applicable
086000000,976300.00,1,samar,196,Moderate,19286,14933,4353,6750.10,5785.80,878670,5127.68,6750.10,-1622.42,Applicable,781040,6055.39,5785.80,269.59,Not Applicable
051700000,1100100.00,6,camarines sur,452,High,26858,16854,10004,9400.30,8057.40,990090,5777.90,9400.30,-3622.40,Applicable,880080,6823.25,8057.40,-1234.15,Applicable
072217000,2856000.00,662,cebu,244,High,32199,21678,10521,11269.65,9659.70,2570400,15000.16,11269.65,3730.51,Not Applicable,2284800,17714.03,9659.70,8054.33,Not Applicable
061900000,3200000.00,6,capiz,218,High,22264,18773,3491,7792.40,6679.20,2880000,16806.90,7792.40,9014.50,Not Applicable,2560000,19847.65,6679.20,13168.45,Not Applicable
133900000,3800000.00,10632,manila,510,High,40233,32517,7716,14081.55,12069.90,3420000,19958.19,14081.55,5876.64,Not Applicable,3040000,23569.09,12069.90,11499.19,Not Applicable
050500000,3890500.00,4,albay,311,High,24343,17970,6373,8520.05,7302.90,3501450,20433.51,8520.05,11913.46,Not Applicable,3112400,24130.40,7302.90,16827.50,Not Applicable
