cityCode,isCapital,provinceCode,cityName,provinceName,islandGroup
137603000,False,130000000,muntinlupa,metro manila,luzon
137604000,False,130000000,parañaque,metro manila,luzon
137605000,False,130000000,pasay,metro manila,luzon
137607000,False,130000000,taguig,metro manila,luzon
141102000,False,141100000,baguio,benguet,luzon
143213000,True,143200000,tabuk,kalinga,luzon
160202000,True,160200000,butuan,agusan del norte,mindanao
160203000,False,160200000,cabadbaran,agusan del norte,mindanao
160301000,False,160300000,bayugan,agusan del sur,mindanao
166724000,True,166700000,surigao,surigao del norte,mindanao
166803000,False,166800000,bislig,surigao del sur,mindanao
166819000,True,166800000,tandag,surigao del sur,mindanao
150702000,True,150700000,lamitan,basilan,mindanao
153617000,True,153600000,marawi,lanao del sur,mindanao
129804000,False,124700000,cotabato,north cotabato,mindanao
