cityCode,isCapital,provinceCode,regionCode,islandGroupCode,cityName
137504000,False,130000000,130000000,luzon,valenzuela
137601000,False,130000000,130000000,luzon,las piñas
137602000,False,130000000,130000000,luzon,makati
137603000,False,130000000,130000000,luzon,muntinlupa
137604000,False,130000000,130000000,luzon,parañaque
137605000,False,130000000,130000000,luzon,pasay
137607000,False,130000000,130000000,luzon,taguig
141102000,False,141100000.0,140000000,luzon,baguio
143213000,True,143200000.0,140000000,luzon,tabuk
160202000,True,160200000.0,160000000,mindanao,butuan
160203000,False,160200000.0,160000000,mindanao,cabadbaran
160301000,False,160300000.0,160000000,mindanao,bayugan
166724000,True,166700000.0,160000000,mindanao,surigao
166803000,False,166800000.0,160000000,mindanao,bislig
166819000,True,166800000.0,160000000,mindanao,tandag
150702000,True,150700000.0,150000000,mindanao,lamitan
153617000,True,153600000.0,150000000,mindanao,marawi
129804000,False,,120000000,mindanao,cotabato
