geographyFk,families,reliability,totalProperties,medianPrice,medianPricePerSqm,medianLotArea,pagIbigRequiredLoan,pagIbigAmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmortization,bankCapacity,bankGap,bankLoanStatus
51700000,452,High,5,1385000.0,13244.0,162.0,1246500.0,7274.24,9400.3,2126.06,Applicable,1108000.0,8590.31,8057.4,-532.91,Not Applicable
56216000,188,Moderate,1,168019000.0,1000.0,168019.0,151217100.0,882461.95,6986.7,-875475.25,Not Applicable,134415200.0,1042119.61,5988.6,-1036131.01,Not Applicable
61900000,218,High,6,3400000.0,18182.0,176.0,3060000.0,17857.33,7792.4,-10064.93,Not Applicable,2720000.0,21088.13,6679.2,-14408.93,Not Applicable
63022000,532,High,164,2437275.0,11077.5,233.0,2193547.5,12800.95,9255.05,-3545.9,Not Applicable,1949820.0,15116.93,7932.9,-7184.03,Not Applicable
63022000,101,Moderate,164,2437275.0,11077.5,233.0,2193547.5,12800.95,13962.9,1161.95,Applicable,1949820.0,15116.93,11968.2,-3148.73,Not Applicable
64500000,661,High,18,2350000.0,4611.5,300.0,2115000.0,12342.57,7051.8,-5290.77,Not Applicable,1880000.0,14575.62,6044.4,-8531.22,Not Applicable
64501000,147,Moderate,230,1147850.0,9167.0,240.0,1033065.0,6028.69,10708.95,4680.26,Applicable,918280.0,7119.42,9179.1,2059.68,Applicable
71200000,332,High,2,2425000.0,39958.5,61.0,2182500.0,12736.48,8530.9,-4205.58,Not Applicable,1940000.0,15040.8,7312.2,-7728.6,Not Applicable
72217000,849,High,512,3003000.0,21000.0,150.0,2702700.0,15772.22,8556.8,-7215.42,Not Applicable,2402400.0,18625.78,7334.4,-11291.38,Not Applicable
72217000,244,High,512,3003000.0,21000.0,150.0,2702700.0,15772.22,11269.65,-4502.57,Not Applicable,2402400.0,18625.78,9659.7,-8966.08,Not Applicable
72226000,132,Moderate,119,1863000.0,30877.0,105.0,1676700.0,9784.77,12490.45,2705.68,Applicable,1490400.0,11555.06,10706.1,-848.96,Not Applicable
72230000,124,Moderate,40,3671850.0,119439.5,54.5,3304665.0,19285.13,12390.35,-6894.78,Not Applicable,2937480.0,22774.25,10620.3,-12153.95,Not Applicable
83700000,507,High,5,1189100.0,18605.0,80.0,1070190.0,6245.34,7290.85,1045.51,Applicable,951280.0,7375.26,6249.3,-1125.96,Not Applicable
83747000,58,Low,2,3358500.0,11909.5,328.0,3022650.0,17639.36,12076.05,-5563.31,Not Applicable,2686800.0,20830.73,10350.9,-10479.83,Not Applicable
86000000,196,Moderate,1,976300.0,27119.0,36.0,878670.0,5127.68,6750.1,1622.42,Applicable,781040.0,6055.39,5785.8,-269.59,Not Applicable
97332000,217,High,19,1510000.0,3317.0,300.0,1359000.0,7930.76,8641.15,710.39,Applicable,1208000.0,9365.61,7406.7,-1958.91,Not Applicable
99701000,27,Very Low,48,1817000.0,1971.5,769.5,1635300.0,9543.17,9167.2,-375.97,Not Applicable,1453600.0,11269.75,7857.6,-3412.15,Not Applicable
101300000,363,High,4,2552350.0,12801.5,207.5,2297115.0,13405.34,7433.65,-5971.69,Not Applicable,2041880.0,15830.67,6371.7,-9458.97,Not Applicable
103500000,167,Moderate,5,718400.0,7184.0,100.0,646560.0,3773.15,7401.1,3627.95,Applicable,574720.0,4455.8,6343.8,1888.0,Applicable
103504000,90,Low,2,4323500.0,,,3891150.0,22707.7,11236.75,-11470.95,Not Applicable,3458800.0,26816.04,9631.5,-17184.54,Not Applicable
104200000,148,Moderate,2,6200000.0,5735.5,1131.5,5580000.0,32563.37,8234.8,-24328.57,Not Applicable,4960000.0,38454.83,7058.4,-31396.43,Not Applicable
104300000,240,High,3,2146600.0,9760.0,100.0,1931940.0,11274.28,8312.5,-2961.78,Not Applicable,1717280.0,13314.05,7125.0,-6189.05,Not Applicable
104305000,205,High,114,2988000.0,12000.0,238.0,2689200.0,15693.44,11285.4,-4408.04,Not Applicable,2390400.0,18532.75,9673.2,-8859.55,Not Applicable
112402000,564,High,169,2250000.0,14667.0,121.0,2025000.0,11817.35,12043.15,225.8,Applicable,1800000.0,13955.38,10322.7,-3632.68,Not Applicable
129804000,347,High,6,360000.0,1800.0,200.0,324000.0,1890.78,8998.85,7108.07,Applicable,288000.0,2232.86,7713.3,5480.44,Applicable
126300000,269,High,13,1492200.0,26646.0,56.0,1342980.0,7837.27,7345.8,-491.47,Not Applicable,1193760.0,9255.21,6296.4,-2958.81,Not Applicable
126303000,173,Moderate,67,2360000.0,11000.0,156.0,2124000.0,12395.09,9678.2,-2716.89,Not Applicable,1888000.0,14637.64,8295.6,-6342.04,Not Applicable
126500000,201,High,14,590700.0,4627.0,133.0,531630.0,3102.45,8570.1,5467.65,Applicable,472560.0,3663.75,7345.8,3682.05,Applicable
160202000,94,Low,21,1702400.0,9809.0,107.0,1532160.0,8941.27,11050.9,2109.63,Applicable,1361920.0,10558.95,9472.2,-1086.75,Not Applicable
160300000,184,Moderate,2,896900.0,6356.5,350.0,807210.0,4710.66,6537.65,1826.99,Applicable,717520.0,5562.92,5603.7,40.78,Applicable
129804000,62,Low,6,360000.0,1800.0,200.0,324000.0,1890.78,6781.6,4890.82,Applicable,288000.0,2232.86,5812.8,3579.94,Applicable
