,id,geographyFk_city,geographyFk_province,title,price,pricePerSqm,floorArea,lotArea,propertyCategory
39,a3a56b01-164a-4597-8263-828f6a6f7f2f,42109000,42100000,With Improvement,1782000.0,35640.0,53.0,50.0,Lot with Improvement
40,13572d4b-73cd-47ab-8ed6-dd32e48c17a3,133900000,130000000,With Improvement,6391000.0,77939.0,152.1,82.0,Lot with Improvement
41,d93e231d-7c04-4e6d-9e07-963fd02355ea,31412000,31400000,With Improvement,4797000.0,33782.0,300.48,142.0,Lot with Improvement
42,3d21767f-4b5d-487d-8ae8-8ec664b70727,133900000,130000000,Townhouse,5593000.0,101691.0,158.47,55.0,Townhouse
43,4545940f-fbb9-4c80-9187-0f2b259c7e07,133900000,130000000,With Improvement,17112000.0,142600.0,283.5,120.0,Lot with Improvement
44,6bb70c9a-cab5-431e-b35e-4a5a3ec46d49,42108000,42100000,With Improvement,1770000.0,35400.0,60.0,50.0,Lot with Improvement
45,513b3617-a5dc-4feb-94a7-d5ec022b4320,42108000,42100000,With Improvement,1793000.0,35860.0,60.0,50.0,Lot with Improvement
46,aa135ecc-0376-47e8-bb21-9a254a0a1dd3,133900000,130000000,Townhouse,6227000.0,87704.0,161.64,71.0,Townhouse
47,4a02bdf0-e05a-448c-a6d4-9e67c8f5f8bb,45802000,45800000,With Improvement,1837000.0,61233.0,57.39,30.0,Lot with Improvement
48,1833d8c6-791d-45f8-a3ed-653c644980a4,42108000,42100000,With Improvement,1793000.0,35860.0,60.0,50.0,Lot with Improvement
49,b22484b3-d454-4195-99ea-886f07ddaa30,133900000,130000000,With Improvement,5283000.0,38846.0,72.17,136.0,Lot with Improvement
50,7429c1aa-9da7-4b9c-bcce-512acdf684f2,45802000,45800000,With Improvement,4942000.0,73215.0,145.8,67.5,Lot with Improvement
51,5220e690-5f7a-4f5b-84b4-495fff6ec21b,133900000,130000000,With Improvement,22575618.54,106489.0,358.56,212.0,Lot with Improvement
52,0db0dbbf-c432-4323-b729-bef6765ced7c,133900000,130000000,With Improvement,2635381.46,12856.0,52.86,205.0,Lot with Improvement
53,4bbc6e71-a03d-4255-872f-f1a8d0c1def8,133900000,130000000,With Improvement,101333000.0,183242.0,614.49,553.0,Lot with Improvement
54,84a111d0-89a7-46fb-95be-f95651a3faf9,133900000,130000000,With Improvement,3852000.0,56316.0,118.0,68.4,Lot with Improvement
55,5c2b7d6b-0e76-4c1b-81c4-c32f6e1e2aaa,133900000,130000000,With Improvement,9928208.59,75904.0,193.14,130.8,Lot with Improvement
56,51c028d2-2ed1-4f77-9dbf-59447b1adf52,42108000,42100000,With Improvement,1503000.0,30060.0,60.0,50.0,Lot with Improvement
57,4e45eec5-5ade-464a-81e9-bfb6cc93a851,63022000,63000000,With Improvement,7858000.0,19645.0,433.0,400.0,Lot with Improvement
58,30fe95c7-f01b-477f-92d8-41ba21fa212d,42108000,42100000,With Improvement,1338000.0,26760.0,50.0,50.0,Lot with Improvement
59,b13abaf8-b6e4-40a1-9e3a-d4bcc18a2c3c,133900000,130000000,With Improvement,23711000.0,118555.0,348.0,200.0,Lot with Improvement
60,6b2da191-3834-49d7-afac-b9a34f352c79,42108000,42100000,With Improvement,1793000.0,35860.0,60.0,50.0,Lot with Improvement
61,fcfedd86-e168-4873-90a1-52c8fc438348,,45800000,With Improvement,4221000.0,17886.0,259.56,236.0,Lot with Improvement
62,ff81a7a8-3964-43ac-9367-9836a65af274,43405000,43400000,With Improvement,2558000.0,19602.0,60.0,130.5,Lot with Improvement
63,7994c97e-1d86-41e4-8c82-36d6f5c113f8,42108000,42100000,With Improvement,1143000.0,28575.0,40.0,40.0,Lot with Improvement
