,geographyFk,capacityToPayPagibig,capacityToPayBank,houseMedianPrice,listingCount,pagIbigRequiredLoan,pagIbigAmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmortization,bankCapacity,bankGap,bankLoanStatus
37,133900000.0,14081.55,12069.9,4013370.0,781,6912000.0,40336.56,14081.55,-26255.01,Not Applicable,6144000.0,47634.37,12069.9,-35564.47,Not Applicable
38,133900000.0,14081.55,12069.9,4013370.0,781,4857300.0,28345.88,14081.55,-14264.33,Not Applicable,4317600.0,33474.31,12069.9,-21404.41,Not Applicable
39,133900000.0,14081.55,12069.9,4013370.0,781,2750400.0,16050.59,14081.55,-1969.04,Not Applicable,2444800.0,18954.51,12069.9,-6884.61,Not Applicable
40,97332000.0,8641.15,7406.7,2044000.0,21,2955600.0,17248.08,8641.15,-8606.93,Not Applicable,2627200.0,20368.65,7406.7,-12961.95,Not Applicable
41,104305000.0,11285.4,9673.2,2880000.0,126,2375100.0,13860.44,11285.4,-2575.04,Not Applicable,2111200.0,16368.11,9673.2,-6694.91,Not Applicable
42,133900000.0,14081.55,12069.9,4013370.0,781,4522500.0,26392.08,14081.55,-12310.53,Not Applicable,4020000.0,31167.02,12069.9,-19097.12,Not Applicable
43,133900000.0,14081.55,12069.9,4013370.0,781,18352800.0,107101.96,14081.55,-93020.41,Not Applicable,16313600.0,126479.17,12069.9,-114409.27,Not Applicable
44,133900000.0,14081.55,12069.9,4013370.0,781,5820300.0,33965.69,14081.55,-19884.14,Not Applicable,5173600.0,40110.87,12069.9,-28040.97,Not Applicable
45,133900000.0,14081.55,12069.9,4013370.0,781,37615500.0,219513.85,14081.55,-205432.3,Not Applicable,33436000.0,259228.95,12069.9,-247159.05,Not Applicable
46,133900000.0,14081.55,12069.9,4013370.0,781,4429800.0,25851.11,14081.55,-11769.56,Not Applicable,3937600.0,30528.17,12069.9,-18458.27,Not Applicable
47,137405000.0,24581.9,21070.2,6065000.0,63,7272000.0,42437.42,24581.9,-17855.52,Not Applicable,6464000.0,50115.32,21070.2,-29045.12,Not Applicable
48,133900000.0,14081.55,12069.9,4013370.0,781,16373700.0,95552.47,14081.55,-81470.92,Not Applicable,14554400.0,112840.11,12069.9,-100770.21,Not Applicable
49,112402000.0,12043.15,10322.7,2163000.0,233,2079900.0,12137.73,12043.15,-94.58,Not Applicable,1848800.0,14333.73,10322.7,-4011.03,Not Applicable
50,112402000.0,12043.15,10322.7,2163000.0,233,904500.0,5278.42,12043.15,6764.73,Applicable,804000.0,6233.4,10322.7,4089.3,Applicable
51,133900000.0,14081.55,12069.9,4013370.0,781,18927900.0,110458.09,14081.55,-96376.54,Not Applicable,16824800.0,130442.5,12069.9,-118372.6,Not Applicable
