geographyFk,houseMedianPrice,listingCount,pagIbigRequiredLoan,pagIbigAmmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmmortization,bankCapacity,bankGap,bankLoanStatus
137501000,1573600.00,158,1416240,8264.79,11469.50,-3204.71,Applicable,1258880,9760.08,9831.00,-70.92,Applicable
045624000,1276000.00,311,1148400,6701.75,10556.35,-3854.60,Applicable,1020800,7914.25,9048.30,-1134.05,Applicable
103504000,3447000.00,2,3102300,18104.18,11236.75,6867.43,Not Applicable,2757600,21379.64,9631.50,11748.14,Not Applicable
137403000,3763260.00,342,3386934,19765.23,17219.30,2545.93,Not Applicable,3010608,23341.21,14759.40,8581.81,Not Applicable
129804000,3884000.00,5,3495600,20399.37,6781.60,13617.77,Not Applicable,3107200,24090.09,5812.80,18277.29,Not Applicable
141102000,4500000.00,24,4050000,23634.70,12926.55,10708.15,Not Applicable,3600000,27910.76,11079.90,16830.86,Not Applicable
072226000,1772100.00,143,1594890,9307.35,12490.45,-3183.10,Applicable,1417680,10991.26,10706.10,285.16,Not Applicable
104305000,2880000.00,126,2592000,15126.21,11285.40,3840.81,Not Applicable,2304000,17862.89,9673.20,8189.69,Not Applicable
137602000,4203000.00,275,3782700,22074.81,23319.80,-1244.99,Applicable,3362400,26068.65,19988.40,6080.25,Not Applicable
137401000,4450200.00,197,4005180,23373.14,19425.70,3947.44,Not Applicable,3560160,27601.88,16650.60,10951.28,Not Applicable
126303000,2172000.00,81,1954800,11407.68,9678.20,1729.48,Not Applicable,1737600,13471.59,8295.60,5175.99,Not Applicable
137601000,7560000.00,399,6804000,39706.30,17352.30,22354.00,Not Applicable,6048000,46890.08,14873.40,32016.68,Not Applicable
137607000,1462500.00,949,1316250,7681.28,15155.00,-7473.72,Applicable,1170000,9071.00,12990.00,-3919.00,Applicable
137605000,4789400.00,105,4310460,25154.67,13921.60,11233.07,Not Applicable,3831520,29705.73,11932.80,17772.93,Not Applicable
112402000,2163000.00,233,1946700,11360.41,12043.15,-682.74,Applicable,1730400,13415.77,10322.70,3093.07,Not Applicable
